GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
vehicule,com.projet.testing.vehicule,VehiculeApplication,5,3,0,0,2,1,1,1,1,1
vehicule,com.projet.testing.vehicule.mapper,UserMapper,0,39,0,0,0,11,0,3,0,3
vehicule,com.projet.testing.vehicule.mapper,ImageMapper,0,21,0,0,0,6,0,2,0,2
vehicule,com.projet.testing.vehicule.mapper,VehiculeMapper,0,67,0,0,0,18,0,3,0,3
vehicule,com.projet.testing.vehicule.config,CryptageMotDePasse,0,7,0,0,0,2,0,2,0,2
vehicule,com.projet.testing.vehicule.config,SecurityConfig,0,97,0,0,0,19,0,5,0,5
vehicule,com.projet.testing.vehicule.exception,CustomHandlerException,0,55,0,2,0,12,0,4,0,3
vehicule,com.projet.testing.vehicule.exception,BusinessException,0,9,0,0,0,4,0,1,0,1
vehicule,com.projet.testing.vehicule.exception,ErrorModel,0,3,0,0,0,1,0,1,0,1
vehicule,com.projet.testing.vehicule.exception,DuplicateRegistrationNumberException,4,0,0,0,2,0,1,0,1,0
vehicule,com.projet.testing.vehicule.util,JwtUtil,0,86,0,0,0,27,0,8,0,8
vehicule,com.projet.testing.vehicule.util,PasswordValidator,0,92,1,25,0,11,1,14,0,2
vehicule,com.projet.testing.vehicule.controller,VehiculeController,44,148,1,1,10,33,3,7,2,7
vehicule,com.projet.testing.vehicule.controller,UserController,0,192,0,4,0,39,0,10,0,8
vehicule,com.projet.testing.vehicule.dto,VehiculeDto,0,3,0,0,0,1,0,1,0,1
vehicule,com.projet.testing.vehicule.dto,ImagesDto,6,3,0,0,2,1,1,1,1,1
vehicule,com.projet.testing.vehicule.dto,UserDto,0,3,0,0,0,1,0,1,0,1
vehicule,com.projet.testing.vehicule.service.impl,JwtServiceImpl,0,186,2,8,0,48,2,6,0,3
vehicule,com.projet.testing.vehicule.service.impl,UserServiceImpl,0,372,4,26,0,76,4,18,0,7
vehicule,com.projet.testing.vehicule.service.impl,VehiculeServiceImpl,31,256,6,8,6,54,6,14,0,13
vehicule,com.projet.testing.vehicule.model,User,20,9,0,0,5,3,5,2,5,2
vehicule,com.projet.testing.vehicule.model,Images,0,9,0,0,0,3,0,2,0,2
vehicule,com.projet.testing.vehicule.model,Vehicule,0,8,0,0,0,2,0,1,0,1
